167,波兰                       ,5,"Poland"
168,葡萄牙                      ,5,"Portugal"
170,卡塔尔                      ,1,"Qatar"
171,罗马尼亚                     ,5,"Romania"
172,俄罗斯联邦                    ,5,"Russia"
173,卢旺达                      ,2,"Rwanda"
176,圣马力诺                     ,5,"San Marino"
178,沙特阿拉伯                    ,1,"Saudi Arabia"
179,塞内加尔                     ,2,"Senegal"
182,新加坡                      ,1,"Singapore"
183,斯洛伐克                     ,5,"Slovakia"
186,索马里                      ,2,"Somali"
187,苏丹                       ,2,"Sudan"
190,瑞典                       ,5,"Sweden"
191,叙利亚                      ,1,"Syria"
195,中国台湾                     ,1,"Taiwan"
196,塔吉克斯坦                    ,1,"Tsjikistan"
197,坦桑尼亚                     ,2,"Tanzania"
198,泰国                       ,1,"Thailand"
201,汤加                       ,6,"Tonga"
203,突尼斯                      ,2,"Tunisia"
206,土库曼斯坦                    ,1,"Turkomanstan"
209,乌干达                      ,2,"Uganda"
210,乌克兰                      ,5,"Ukiain"
211,英国（正式代码为GB）              ,5,"England"
212,美国                       ,3,"America"
214,乌拉圭                      ,4,"uruguay"
216,梵蒂冈（罗马教庭）                ,1,"Vatican"
217,委内瑞拉                     ,3,"Venezuela"
218,越南                       ,1,"Vietnam"
222,也门                       ,1,"Yemen"
223,南斯拉夫                     ,5,"Yugoslavia"
224,南非                       ,2,"South Africa"
225,扎伊尔                      ,2,"Zaire"
226,赞比亚                      ,2,"Zambia"
227,津巴布韦                     ,2,"Zimbabwe"
