content,cluster
今晚和怡宝一起玩了人类一败涂地在元宇宙也想邀请你跳一支交谊舞,2
设圈到底是本身就低龄还是有人割低龄韭菜镁基夜师傅p1说虚拟图片我还以为元宇宙结果又是设还不如元宇宙呢那个还能炒孽孽没有猫迷惑行為大賞小幽困呼呼这就是那个5k2的设评论配图,2
周深先生之夜元宇宙往事都随风而散你的歌声也飘远但是我的心不会为你而散卡布叻_周深时尚先生元宇宙L梅涩甜的微博视频,2
一个人的时候喜欢沉浸式唱歌尽力把感情音调动作表情等等都用上细细地把自己融入你会发现在一首歌里还有更深层的东西值得去体会去挖掘甚至是研究那些句句唱过的歌词里字里行间他的所有的歌每一句都可以连成一个整体就连旋律都可以首首对应就像小爱里有小疯子就像小疯子里有火孩就像小回里面有小爱就像花落里面有小回日出是花落里希望的未来七皇是它们全部的序曲一样就像花生米里的小我在慢慢地讲道理长成了花生仁就像花生仁的道理讲不明白继续在路上慢慢地一个人走着一边走着一边遇到也慢慢地放大自己是花生糖他的格局继续在一步步地打开问天问地问宇宙也问次元问维度也问平行空间是花生粒接着又回归到最单纯的本质看看身边的世间的温暖与美好所有的这些拼在一起可能还要再加上我们还未曾见过的那些面才形成了完整的他收起d,2
利好东北意思一边在东北开澡堂子一边玩元宇宙实体虚拟都赢麻了,2
元宇宙金融时报如果银行也来元宇宙你怎么看1月10日央行主管的金融时报官微发文AI虚拟品牌官AIYA艾雅正式入职百信银行分析人士认为无论商业银行是否在此时选择拥抱元宇宙元宇宙概念的兴起都为商业银行的数字化转型提供了新的想象空间金融时报,2
一往无前的蓝张嘉元宇宙没有伏笔海里没有潮汐请问你是在搜张嘉元zjy的宇宙海吗既然来了那就了解一下元气满满的指弹吉他手涨价元吧营口之光东北猛男张嘉元也得看一看吧喜欢吃冰淇淋的小朋友张佳媛你真的不看眼吗那03年速成系爱豆张你总要知道吧张嘉元的其他108种打开方式等你探索哦张嘉元老拔老八腮子哇唧唧哇INTO1张嘉元ipad养乐多收起d,2
人民日报评论无论元宇宙和人工智能多么精彩但或许最难冲击甚至取代洗浴行业经历过竞奢赛豪的误区如今的洗浴行业向个性化品质化发展只不过随着资本的涌入很多新店陷入了复制网红的窠臼仔细想想与同样提供休闲需求的餐饮KTV等相比跨地域强IP重概念的洗浴品牌似乎不多从这个意义上看反倒是热气氤氲里的市井温情才更接近泡澡的本质反倒是基于本地的传统样式总能翻生出不同的花样不妨用回收记忆的方式创造新的传统让洗浴回归地域的掌故与风俗让一方方不大的水池生发出更多文化的味道也许古老的澡堂子已逐渐消失但洗浴行业或许是最难被网络冲击被人工智能取代的行业之一毕竟无论元宇宙多么精彩赛博空间多么璀璨热气腾腾的温泉和搓得通红的后背总能在冬日里让人那么心驰神往收起d,2
镁基夜师傅p1说虚拟图片我还以为元宇宙结果又是设还不如元宇宙呢那个还能炒孽孽没有猫迷惑行為大賞小幽困呼呼这就是那个5k2的设评论配图,2
张嘉元宇宙没有伏笔海里没有潮汐请问你是在搜张嘉元zjy的宇宙海吗既然来了那就了解一下元气满满的指弹吉他手涨价元吧营口之光东北猛男张嘉元也得看一看吧喜欢吃冰淇淋的小朋友张佳媛你真的不看眼吗那03年速成系爱豆张你总要知道吧张嘉元的其他108种打开方式等你探索哦,2
ChingYi_繁體君周深时尚先生GENTLEGALA卡布叻_周深周深_星轨记录仪周深周深年度先生走过荆棘丛生夜色茫茫仍有理想滚烫心怀光亮和深深一起在周深先生之夜元宇宙中致敬从勇敢与坚定中开出的不凡卡布叻_周深,2
发表了博文换元宇宙切换梦空動O换,2
浩瀚宇宙五维星系在我们每一个人独立的星际次元里做自己独一无二的冠军当我们在二次元的世界被他人评判在三次元被规则裹挟当无法再追随自我内心那就打破规则选择新的星轨一起开启第五次元视角正视世界正视内心此刻开始我们与自己的人生重新对话张碧晨自作词Interstellar舞台首秀欢迎来听萧敬腾张碧晨InterstellarLiveKInterstellarQQ音乐收起d,2
我参与了元星系宇宙护卫队0108发起的投票张嘉元zjy张嘉元粉丝老拔我投给了正能量青年歌手张嘉元原创好听这个选项你也快来表态吧,2
小牙啃梨啃不动太帅啦卡布叻_周深周深_星星瞭望塔周深时尚先生GENTLEGALA周深先生之夜元宇宙勇敢突破自己致敬不平凡卡布叻_周深,2
正式进军元宇宙,2
清华生活碎片plog博主日记plog最近都没有更新是因为年末述职太忙了当然也和我剪了一个巨丑的头有关迫切地想要剪掉锡纸烫的头发浅尝丁海寅雪滴花造型大失败近期不会自拍的程度了糊完了辅导员述职和实验室汇报周末和朋友一起剧本杀成为一个rapper全程呦呦数来宝原来剧本杀这么累我已经耗光我所有的演技入手了生酮面包企图减肥但周末暴吃两顿欺骗餐生酮面包才是真正的欺骗吧分享一张男明星元宇宙我真的是被像到2北京清华大学收起d,2
周深先生之夜元宇宙周深你在这人间我也在这真的太美好啦卡布叻_周深时尚先生元宇宙L梅涩甜的微博视频,2
成瘾剂量资本的套路真是一套一套的只要有需要可以创造各种新名词赚钱就行让我想到了最近很火的元宇宙,2
EricTsui有没有课代表建筑教师万谦赵逵建筑元宇宙站山顶吹吹风转发微博,2
一往无前的蓝张嘉元一起期待张嘉元作为消防新生的全新经历与前辈们一起坚定一往无前拼尽全力使命必达消防预备队员张嘉元提醒您用火千万条安全第一条攀云梯入火海负千斤抵四方张嘉元十九岁的第一课是为家园安全保驾护航INTO1张嘉元头像初舞台表情包宇宙海王者张嘉元粉丝腮子门面万达营口腮丝zjy纹身张佳媛涨价元艺考高考高中老拔老八家园10收起d,2
EvilSquidGame大盘大跌的情况下有432bnb大佬入场ESG明天上抹茶接下来利好不断还在等什么GameFi元宇宙,2
我参与了元星系宇宙护卫队0108发起的投票张嘉元zjy张嘉元粉丝老拔涨价元我投给了张嘉元一生浪漫久远平安这个选项你也快来表态吧,2
一往无前的蓝张嘉元一起期待张嘉元作为消防新生的全新经历与前辈们一起坚定一往无前拼尽全力使命必达消防预备队员张嘉元提醒您用火千万条安全第一条攀云梯入火海负千斤抵四方张嘉元十九岁的第一课是为家园安全保驾护航INTO1张嘉元头像初舞台表情包宇宙海王者张嘉元粉丝腮子门面万达营口腮丝zjy纹身张佳媛涨价元艺考高考高中老拔老八家园建设精锐部队培养科技尖兵强化消防科学提高保卫能力和张嘉元一起了解消防知识保护家园收起d,2
一往无前的蓝张嘉元zjy涨价元我投给了INTO1冷感门面张嘉元宇宙海好听这个选项你也快来表态吧,2
一往无前的蓝张嘉元一起期待张嘉元作为消防新生的全新经历与前辈们一起坚定一往无前拼尽全力使命必达消防预备队员张嘉元提醒您用火千万条安全第一条攀云梯入火海负千斤抵四方张嘉元十九岁的第一课是为家园安全保驾护航INTO1张嘉元头像初舞台表情包宇宙海王者张嘉元粉丝腮子门面万达营口腮丝zjy纹身张佳媛涨价元艺考高考高中老拔老八家园攀云梯入火海负千斤抵四方张嘉元十九岁的第一课是为家园安全保驾护航收起d,2
元宇宙概念股湖北广电超预期上演地天板今日上午元宇宙概念股湖北广电超预期上演地天板湖北广电跌停板开盘大约在上午950一笔大单直接撬开跌停板跌停打开后迅速拉升上午封住涨停板湖北广电今天盘中强势上演地天板主力资金做多意愿暴露无遗从技术上看今天这个地天板意义十分重大一举突破了近期顶部两根放量阴线的压制股价再创新高盘后的龙虎榜显示多路游资合力拉升拉萨军团也在列明天游资的一场巅峰对决在所难免股票收起d,2
高定男装魅力无限Fendiman全场最璀璨夺目的星王嘉尔王嘉尔时尚先生GENTLEGALA先生之夜元宇宙先生星热点,2
2021年度十大网络用语觉醒年代YYDS双减破防元宇宙绝绝子躺平伤害性不高侮辱性极强我看不懂但我大受震撼强国有我我看不懂但我大受震撼2021年度十大网络用语你都知道哪些O我看不懂但我大受震撼2021年度十大网络用语你都知道哪些,2
是元宇宙你群离岛哪卖几钱,2
华策影视sz30013380后海龟二代上位华策影视动手内部大整合电视剧第一股进军元宇宙点击链接查看更多O80后海龟二代上位华策影视动手内部大整合电视剧第一股进军元宇宙,2
周深先生之夜元宇宙感谢周深卡布叻_周深在音乐的路上从未停歇奉献给大家一次次惊艳的演出和一首首过耳难忘的歌曲时尚先生元宇宙L梅涩甜的微博视频,2
中青宝子公司拟向实控人收购元宇宙数字平台公司中青宝sz300052公告公司全资子公司中青宝香港拟向公司实控人李瑞杰收购其所持宝德资产管理香港有限公司拟更名为保尔利德元宇宙数字平台有限公司51股权并签署相应的股权转让协议本次交易完成后宝德资产管理香港有限公司为公司的控股子公司本次交易对价为0港元保尔利德元宇宙数字平台有限公司希望成为游戏UGC平台的先驱者通过游戏相连全世界为用户内容创作者以及项目方提供一个可以想象创造并且实践的空间同日公告控股股东及实控人拟减持不超过3股份收起d,2
周末受国内多城市疫情反弹的刺激今天检测和中药板块都反弹领涨尤其检测线领涨目前生产检测的企稳已经是太忙了目前疫情又多地扩散所以检测线和中药线还会持续炒重点关注科创板带生物名字的龙头三天连板60了跟风的也是20CM的涨停数字货币线反弹总体反弹走势没变龙头五连板龙二也是三天两板反包走强其他3开头的也比较活跃奥运主推数字人民币假如说市场反弹走势那么新能源盐湖提锂等必然会回归未来看好的逻辑不变主要还是看西藏三巨头轮流走强涨停稳健的继续看基建基建建材钢筋水泥还有基建机械重工今天缩量洗盘震荡大资金都潜伏未动继续看好基建首选就是中字头的大蓝筹了钢铁水泥就去看哪些领涨的个股重装机械很好找就那么三四家可以看这两天都在上涨的今天市场企稳20CM的涨停板有10家这充分说明了市场快短的投机风格也就是说只要市场企稳给机会资金就赶紧大干一把还不知道下周市场又是什么情况抓住有限的时间和机会这就是市场目前的风格以下是重点分析板块赛道赛道元宇宙元宇宙这个板块今天上演了一出大戏昨天讲到的龙头湖北广电sz000665今天直接来了地天板气质拉满今天有上车的朋友恭喜大伙了湖北这个大长腿和当初省广走二波的时候有些相似但比当初的省广还要强一些如果明天继续走强那么资金模仿省广的意愿会加强从板块来看考虑到湖北广电sz000665的新高会对元宇宙板块起到进一步刺激今天已经有云南旅游sz002059引力传媒sh603598跟随反弹后续就是关注湖北广电能不能带动更多的公司反弹如果可以那么资金又将要回流元宇宙其他地产线昨天聊到地产方面的反弹主要的原因是贷款的红线有所放松其次就是加速水利建设的政测落地引导资金去了地产这一低位板块昨晚提到的新华联sz000620今天成功走出三板同板块中韩建河山sh603616钱江水利sh600283也一同上板这个方向今天的板块效应并不是最强有上车的朋友先做盈利保护就好医药随着疫情消息的发酵今天盘中资金明显往医药方向转移最典型的就是雅本这个高标今天20CM反包按理说这种涨幅调整的概率远远大于上涨的概率而他却强势涨停也正式在这种情绪的影响下亚宝药业sh600351新天药业sz002873以岭药业sz002603等都在今天被资金关注了从目前的板块效应来看医药无疑是最强的但明天也要提防其他板块启动之后对他的分流因为毕竟现在还是在混沌期题材的延续性都不会太强好了今晚就聊这么多应对方法这里指数依然弱势开年连跌了一周之后仍无法走出有力的反弹明天仍是弱反弹的话是减仓点继续跌的话则后天早上的下杀又是博弈点类似于今天早盘当下行情的操作难度仍然不小并且后续仍需做好困难准备行情向好的话看绿电白酒能否修复趋弱的话则注意次新老妖股的反复供参考司徒大师姐微博财经微博股票今日看盘股票财经收起d,1
建筑教师万谦赵逵建筑元宇宙站山顶吹吹风转发微博,2
一往无前的蓝张嘉元一起期待张嘉元作为消防新生的全新经历与前辈们一起坚定一往无前拼尽全力使命必达消防预备队员张嘉元提醒您用火千万条安全第一条攀云梯入火海负千斤抵四方张嘉元十九岁的第一课是为家园安全保驾护航INTO1张嘉元头像初舞台表情包宇宙海王者张嘉元粉丝腮子门面万达营口腮丝zjy纹身张佳媛涨价元艺考高考高中老拔老八家园8收起d,2
你是最棒的C929彩虹致敬不平凡卡布叻_周深周深_星星瞭望塔周深时尚先生GENTLEGALA周深先生之夜元宇宙勇敢突破自己致敬不平凡卡布叻_周深,2
p1说虚拟图片我还以为元宇宙结果又是设还不如元宇宙呢那个还能炒孽孽没有猫迷惑行為大賞小幽困呼呼这就是那个5k2的设评论配图,2
一往无前的蓝张嘉元一起期待张嘉元作为消防新生的全新经历与前辈们一起坚定一往无前拼尽全力使命必达消防预备队员张嘉元提醒您用火千万条安全第一条攀云梯入火海负千斤抵四方张嘉元十九岁的第一课是为家园安全保驾护航INTO1张嘉元头像初舞台表情包宇宙海王者张嘉元粉丝腮子门面万达营口腮丝zjy纹身张佳媛涨价元艺考高考高中老拔老八家园和张嘉元一起致敬火场中最美的逆行身影收起d,2
超棒棒哒C929彩虹致敬不平凡卡布叻_周深周深_星星瞭望塔周深时尚先生GENTLEGALA周深先生之夜元宇宙勇敢突破自己致敬不平凡卡布叻_周深,2
真棒C929彩虹致敬不平凡卡布叻_周深周深_星星瞭望塔周深时尚先生GENTLEGALA周深先生之夜元宇宙勇敢突破自己致敬不平凡卡布叻_周深,2
超棒哒C929彩虹致敬不平凡卡布叻_周深周深_星星瞭望塔周深时尚先生GENTLEGALA周深先生之夜元宇宙勇敢突破自己致敬不平凡卡布叻_周深,2
哇好棒C929彩虹致敬不平凡卡布叻_周深周深_星星瞭望塔周深时尚先生GENTLEGALA周深先生之夜元宇宙勇敢突破自己致敬不平凡卡布叻_周深,2
棒棒哒C929彩虹致敬不平凡卡布叻_周深周深_星星瞭望塔周深时尚先生GENTLEGALA周深先生之夜元宇宙勇敢突破自己致敬不平凡卡布叻_周深,2
太棒了C929彩虹致敬不平凡卡布叻_周深周深_星星瞭望塔周深时尚先生GENTLEGALA周深先生之夜元宇宙勇敢突破自己致敬不平凡卡布叻_周深,2
宝贝真棒C929彩虹致敬不平凡卡布叻_周深周深_星星瞭望塔周深时尚先生GENTLEGALA周深先生之夜元宇宙勇敢突破自己致敬不平凡卡布叻_周深,2
一往无前的蓝张嘉元一起期待张嘉元作为消防新生的全新经历与前辈们一起坚定一往无前拼尽全力使命必达消防预备队员张嘉元提醒您用火千万条安全第一条攀云梯入火海负千斤抵四方张嘉元十九岁的第一课是为家园安全保驾护航INTO1张嘉元头像初舞台表情包宇宙海王者张嘉元粉丝腮子门面万达营口腮丝zjy纹身张佳媛涨价元艺考高考高中老拔老八家园6收起d,2
爱了舟妈叻盈盈致敬最努力的你卡布叻_周深周深_星星瞭望塔周深时尚先生GENTLEGALA周深先生之夜元宇宙勇敢突破自己致敬不平凡卡布叻_周深,2
周末的作业做错了我以为今天适合低吸其实今天完全可以打板看明天关注的几个票溢价如何吧其实我觉得上周还好是大家鬼哭狼号让我觉得原来大盘跌的好惨就觉得今天应该不乐观所以不要太受别人情绪宣泄的影响啊也正是因为这个今天才想要低吸的或许低吸的好时机是上周五吧今天在视野内想低吸的而且走弱的是元宇宙可惜我没有标的啊没有随便买第二个是钢铁跟房地产而且今天挺弱的也是没找到合适的标的第三个是铁路运输一看也涨起来了怎么低吸整整就变成追高了想低个吸也挺难啊还有一个光伏有点止跌的感觉可是被打怕了没有补明天考啥咋答收起d,2
帅舟妈叻盈盈致敬最努力的你卡布叻_周深周深_星星瞭望塔周深时尚先生GENTLEGALA周深先生之夜元宇宙勇敢突破自己致敬不平凡卡布叻_周深,2
可爱舟妈叻盈盈致敬最努力的你卡布叻_周深周深_星星瞭望塔周深时尚先生GENTLEGALA周深先生之夜元宇宙勇敢突破自己致敬不平凡卡布叻_周深,2
TheCryptoYou推出宝宝合并功能可以使用2个或更多宝宝角色将他们合并为一个新角色这招的目的是为了减少市场上宝宝数量普通玩家来说总体弊大于利链游元宇宙NFT,2
好帅舟妈叻盈盈致敬最努力的你卡布叻_周深周深_星星瞭望塔周深时尚先生GENTLEGALA周深先生之夜元宇宙勇敢突破自己致敬不平凡卡布叻_周深,2
爱了爱了舟妈叻盈盈致敬最努力的你卡布叻_周深周深_星星瞭望塔周深时尚先生GENTLEGALA周深先生之夜元宇宙勇敢突破自己致敬不平凡卡布叻_周深,2
周深年度10大金曲光亮周深先生之夜元宇宙周深Justlikefire周深的歌声像河流像海洋表面平静内里蕴含着巨大的能量卡布叻_周深分享视频歌手周深光亮紫禁城大型纪录片主题歌L光亮紫禁城大型纪录片主题歌QQ音乐,2
我的观点是兼容如果你是普通元宇宙居民你能以极低代价得到一个地产作为低保但你是大企业大网红大组织有展示自己的需求那你要花大钱去竞争好的位置可能数字天安门边上的地段比现实贵几百倍因为人流量也是几百倍在元宇宙中人物去热门地方没成本的,2
复盘缩量弱反抽过后短期指数能否止住颓势周末受国内多城市疫情反弹的刺激今天检测和中药板块都反弹领涨尤其检测线领涨目前生产检测的企稳已经是太忙了目前疫情又多地扩散所以检测线和中药线还会持续炒重点关注科创板带生物名字的龙头三天连板60了跟风的也是20CM的涨停数字货币线反弹总体反弹走势没变龙头五连板龙二也是三天两板反包走强其他3开头的也比较活跃奥运主推数字人民币假如说市场反弹走势那么新能源盐湖提锂等必然会回归未来看好的逻辑不变主要还是看西藏三巨头轮流走强涨停稳健的继续看基建基建建材钢筋水泥还有基建机械重工今天缩量洗盘震荡大资金都潜伏未动继续看好基建首选就是中字头的大蓝筹了钢铁水泥就去看哪些领涨的个股重装机械很好找就那么三四家可以看这两天都在上涨的今天市场企稳20CM的涨停板有10家这充分说明了市场快短的投机风格也就是说只要市场企稳给机会资金就赶紧大干一把还不知道下周市场又是什么情况抓住有限的时间和机会这就是市场目前的风格以下是重点分析板块赛道赛道元宇宙元宇宙这个板块今天上演了一出大戏昨天讲到的龙头湖北广电sz000665今天直接来了地天板气质拉满今天有上车的朋友恭喜大伙了湖北这个大长腿和当初省广走二波的时候有些相似但比当初的省广还要强一些如果明天继续走强那么资金模仿省广的意愿会加强从板块来看考虑到湖北广电sz000665的新高会对元宇宙板块起到进一步刺激今天已经有云南旅游sz002059引力传媒sh603598跟随反弹后续就是关注湖北广电能不能带动更多的公司反弹如果可以那么资金又将要回流元宇宙其他地产线昨天聊到地产方面的反弹主要的原因是贷款的红线有所放松其次就是加速水利建设的政测落地引导资金去了地产这一低位板块昨晚提到的新华联sz000620今天成功走出三板同板块中韩建河山sh603616钱江水利sh600283也一同上板这个方向今天的板块效应并不是最强有上车的朋友先做盈利保护就好医药随着疫情消息的发酵今天盘中资金明显往医药方向转移最典型的就是雅本这个高标今天20CM反包按理说这种涨幅调整的概率远远大于上涨的概率而他却强势涨停也正式在这种情绪的影响下亚宝药业sh600351新天药业sz002873以岭药业sz002603等都在今天被资金关注了从目前的板块效应来看医药无疑是最强的但明天也要提防其他板块启动之后对他的分流因为毕竟现在还是在混沌期题材的延续性都不会太强好了今晚就聊这么多应对方法这里指数依然弱势开年连跌了一周之后仍无法走出有力的反弹明天仍是弱反弹的话是减仓点继续跌的话则后天早上的下杀又是博弈点类似于今天早盘当下行情的操作难度仍然不小并且后续仍需做好困难准备行情向好的话看绿电白酒能否修复趋弱的话则注意次新老妖股的反复供参考财经趋势波段微博财经股票今日看盘新浪财经微博股票微博看市财经头条收起d,1
选股条件1行业前三板块有亮点的股票都做功课每个票有什么亮点要掌握做标注新股要把基本功练好了解其核心业务做趋势要把行业2大局观一定做牛股牛股来自国家大政策如碳达峰老米都提倡关键要怎么判断政策级别大关键看中央地方和企业都能不能搞超级赛道可以反复做3世界级别的行业突破如元宇宙目前超概念缥缈的东西都有想象力4普通行业涨价题材如联创5抱大腿的票如省广操作手法1每天把强势股涨停板都过一遍基本功到位看一眼就行找出有大局观的票次日可梭哈2买入股后对了就持有错了及时止损3持股喜欢做龙头如市场龙头九安医疗等一年就十几个手握龙头开盘睡觉都没关系龙头要往大的想多持股不要被分时图洗最好拿到它停牌不停不走2板块领涨股一年下来很多但配不上叫龙头如最近的幽门螺旋杆菌等中药最好作为趋势股搞板块内有小弟挡刀的最好持有时间比市场头短3只有你追求暴利你才能获得暴利暴利挖机2重庆收起d,2
耶ヾ?呵呵也一样_808周深时尚先生GENTLEGALA周深先生之夜元宇宙勇敢突破自己致敬不平凡卡布叻_周深,2
嘿嘿开心呵呵也一样_808周深时尚先生GENTLEGALA周深先生之夜元宇宙勇敢突破自己致敬不平凡卡布叻_周深,2
周深先生之夜元宇宙卡布叻_周深蹉跎的岁月被你的声音润化一切的不太好变的很好,2
过尽千帆charlir恭喜深深深深最棒卡布叻_周深周深_星星瞭望塔周深时尚先生GENTLEGALA周深先生之夜元宇宙勇敢突破自己致敬不平凡卡布叻_周深,2
转发微博Charlie的白色打底新的一年越来越好周深_星星瞭望塔周深时尚先生GENTLEGALA周深先生之夜元宇宙勇敢突破自己致敬不平凡卡布叻_周深,2
今天是修行的第五天上周我主要训练的是观察自己的思想了解自己的大脑每天都在想些什么是想些有用的东西多还是没用的东西多呢是积极的东西多还是消极的东西多呢经过上周的观察我发现自己的大脑绝大部分的时间是在做无用功整天想一些乱七八糟的东西这还不算还经常想一些消极的事情这会对我的身心造成重大伤害的还有就是在做这件事情的时候脑子飞去想其他事情让自己不能专注于做当下的事情严重影响做事的效率不知道大家有没有我的这种感觉所以从今天起我要学会控制自己的思想具体做法为只要有时间或者想起就观察自己的思想发现胡思乱想马上提醒自己要回到当下关注当下当发现自己想负面事情的时候马上把负面的想法踢出脑海从早上起床开始给自己灌输积极的信念然后一天的时间只要想起我就学这去控制自己的思想也许是第一天做的原因吧做的不是很顺利想吧自己从思维中拉回当下不容易想踢出负面思想也不容易但是再难也要做到也要坚持修行早上本来想买新媒股份和芒果超媒的结果还是觉得芒果太贵了就买了分众传媒分众传媒这几年业绩增长的不错去年有加速增长的趋势估值也难得那么低所以还是决定买分众传媒结果今天买的这两只股票也真够给我面子的双双下跌不过我的情绪没有受这两只下跌的影响有一只股票让我挺郁闷是真的那就是我周四买的昆仑万维这只票低估值高增长且我买的时候正好是跳空突破的时候没想到仅仅两天就套了我8个点不过我相信是金子总会发光的除非我倒霉碰上财务造假否则我还真不担心它不涨今天账户波澜不惊账户小亏600块其中我的老持仓股拜人寿董事长被抓所赐亏了2000块不过人寿我不担心我认为大国企谁当领导都差不多明天随便换一个照样经营其他股票总体还是有点小挣今年我的主要观点是现在国家坚持住房不炒国家现在做的是科技兴国要做到科技兴国就必须依靠资本市场就是依靠股市信贷资金是支撑不起科创的老百姓也是同样的在住房不炒的政策下房产的增值空间有限银行保本理财退出市场各种P2P消失其实老百姓的理财渠道也就剩下股市了不管是直接下场买还是买基金最近我还是坚持看好氢能源和元宇宙板块今年我会继续修行本周开始要锻炼控制思想清除负面思想保留正面思想让自己时刻充满正能量让好运气时刻相伴其实交易者的内心比专业知识更重要投资成功与否主要看我们是不是有坚定的信念坚信自己能挣钱是不是有一颗平静的心可观的应对市场的变化而不是乱了心境就像开年连续跌了四天我看网上大部分的人极度悲观所谓的三根K线改变信仰然而事实是这样吗只要你选的股票逻辑不变持有的条件不变短期的回调又能算什么呢此外我认为赚大钱一定要有好的运气努力可以赚小钱赚大钱一定要有运气我修炼的目的就是要改运我相信把自己修炼成一个积极向上的人一个有坚定信仰的人我的运气就不会差到哪里去最后祝大家在投资的路上顺顺利利收获满满也祝大家明天开门大吉价值投资元宇宙氢能源歌尔股份sz002241美锦能源sz000723新媒股份sz3007702南宁广西第一工业学校收起d,1
ReportCharlie的白色打底新的一年越来越好周深_星星瞭望塔周深时尚先生GENTLEGALA周深先生之夜元宇宙勇敢突破自己致敬不平凡卡布叻_周深,2
打不败叻诺诺好棒周深_星星瞭望塔周深时尚先生GENTLEGALA周深先生之夜元宇宙勇敢突破自己致敬不平凡卡布叻_周深,2
轉發微博Charlie的白色打底新的一年越来越好周深_星星瞭望塔周深时尚先生GENTLEGALA周深先生之夜元宇宙勇敢突破自己致敬不平凡卡布叻_周深,2
Charlie的白色打底新的一年越来越好周深_星星瞭望塔周深时尚先生GENTLEGALA周深先生之夜元宇宙勇敢突破自己致敬不平凡卡布叻_周深,2
